cause_of_death,race_eth,year,date,n_deaths,pop,expected,expected_lower,expected_upper,cumulative_lower,cumulative_upper,cumulative_mean
All external causes of deaths,All,2015,2015-01-01,18086,321418820,18068.191982282082,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2015,2015-02-01,16019,321418820,16308.426871326954,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2015,2015-03-01,18004,321418820,18013.31087942816,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2015,2015-04-01,17087,321418820,17292.241996724915,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2015,2015-05-01,18513,321418820,18160.465806390344,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2015,2015-06-01,18161,321418820,18394.876587621016,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2015,2015-07-01,19273,321418820,19240.59375209047,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2015,2015-08-01,19092,321418820,18788.67324032394,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2015,2015-09-01,18151,321418820,18253.38070279656,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2015,2015-10-01,18720,321418820,18552.565106942966,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2015,2015-11-01,17505,321418820,17803.087712886096,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2015,2015-12-01,18078,321418820,18292.02735013421,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2016,2016-01-01,18482,323127513,18566.762861190913,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2016,2016-02-01,17881,323127513,16756.930280432916,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2016,2016-03-01,19587,323127513,19344.754394057447,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2016,2016-04-01,18942,323127513,18779.822809677862,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2016,2016-05-01,19517,323127513,19875.696635140797,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2016,2016-06-01,19510,323127513,19669.483721552526,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2016,2016-07-01,20924,323127513,20561.289282779686,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2016,2016-08-01,20458,323127513,20313.9909378451,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2016,2016-09-01,19625,323127513,19680.0016227879,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2016,2016-10-01,20327,323127513,20008.537191730284,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2016,2016-11-01,19622,323127513,19352.621028331963,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2016,2016-12-01,20319,323127513,20193.10416313149,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2017,2017-01-01,20914,325719178,20678.42082236611,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2017,2017-02-01,18659,325719178,19067.03894140022,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2017,2017-03-01,20704,325719178,20705.72744656713,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2017,2017-04-01,20288,325719178,19989.65546494288,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2017,2017-05-01,21032,325719178,21169.88445325384,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2017,2017-06-01,20897,325719178,21100.463863832236,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2017,2017-07-01,21779,325719178,21965.02389074055,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
All external causes of deaths,All,2017,2017-08-01,21049,325719178,21377.786500178132,NA,NA,8112.125267520975,26246.861812995765,17193.574859830238
